date,id_moneda,price,Porcentaje,market_cap,volume,MA_15,Price_to_MA15,Volume_to_market_cap,Porcentaje_abs
2020-04-01,bitcoin,6421.70541388854,0.2899229868647213,117750.20563439988,32287674952.1782,6119.247292296863,1.049427340838541,27.420482858796454,0.2899229868647213
2020-04-02,bitcoin,6640.797666310131,3.411745608070871,120921.61701034784,35886963977.71526,6211.8608964569175,1.0690512516302269,29.677873042868956,3.411745608070871
2020-04-03,bitcoin,6807.897017890566,2.516254220907199,124719.70845363535,47638672293.73783,6295.28635587532,1.0814276957452194,38.19658727910476,2.516254220907199
2020-04-04,bitcoin,6732.852018394612,-1.102322777485354,123234.16442770817,39867535857.25387,6390.727440544996,1.0535345281163235,32.351041646929836,1.102322777485354
2020-04-05,bitcoin,6859.424923721944,1.8799300056131507,125564.42782617566,35009177102.13241,6428.237535088791,1.0670770777027916,27.88144517378532,1.8799300056131507
2020-04-06,bitcoin,6788.048272605917,-1.0405631945789584,124272.36345193963,31885662165.01491,6472.492296319746,1.0487533954216672,25.65788666065419,1.0405631945789584
2020-04-07,bitcoin,7297.635558289496,7.507125247474833,133484.8543334495,45370138560.82485,6515.31078840998,1.1200748199565838,33.98897859040155,7.507125247474833
2020-04-08,bitcoin,7196.782202442051,-1.3820004444163203,131782.16446585345,43386074290.71468,6611.176663609321,1.0885781107705301,32.92256920090018,1.3820004444163203
2020-04-09,bitcoin,7342.291601148024,2.0218674765035693,134518.7206400234,38922547592.862114,6660.538978041231,1.1023569752169347,28.934669767652746,2.0218674765035693
2020-04-10,bitcoin,7294.488875121554,-0.6510600317072068,133598.65128171776,34921486435.060486,6701.346832626352,1.0885108706219198,26.139101031358464,0.6510600317072068
2020-04-11,bitcoin,6864.694257006497,-5.892045700157366,125740.85869927552,37828011010.9016,6741.25271640794,1.018311365230101,30.084104245996816,5.892045700157366
2020-04-12,bitcoin,6878.781212589853,0.2052087836101002,125980.54374236499,30280054180.28837,6747.861528279713,1.019401655437277,24.035500467605726,0.2052087836101002
2020-04-13,bitcoin,6913.158787469097,0.49976258608610546,126655.46365831228,34544392366.04943,6779.925187230663,1.0196511903242482,27.27430098021067,0.49976258608610546
2020-04-14,bitcoin,6857.538537511484,-0.8045562335184719,125651.10379021225,38062368291.08157,6823.8024131490265,1.0049438893918514,30.29210818126254,0.8045562335184719
2020-04-15,bitcoin,6860.17853570111,0.038497752148036746,125713.88301564562,33837365577.44977,6886.615838663665,0.9961610602969709,26.91617247495137,0.038497752148036746
2020-04-16,bitcoin,6629.431738031291,-3.3635684037811475,121499.4981098083,29692916171.011845,6917.084992006058,0.9584140928863528,24.43871508356035,3.3635684037811475
2020-04-17,bitcoin,7059.92622475854,6.493686091639139,129402.88447795893,45752002264.274315,6930.933413615576,1.0186111744905184,35.35624607507665,6.493686091639139
2020-04-18,bitcoin,7035.261503989225,-0.3493623018724801,128961.70423738853,31701906839.621475,6958.8753175121365,1.01097680055926,24.582419274845833,0.3493623018724801
2020-04-19,bitcoin,7242.5109294929825,2.945866694311783,132775.3233054357,30035235468.3311,6974.032949918712,1.0384968040016789,22.62109759600298,2.945866694311783
2020-04-20,bitcoin,7127.511949689152,-1.5878330170760457,130680.70068631035,29714765522.325314,7008.010210658604,1.0170521639435965,22.738449798837152,1.5878330170760457
2020-04-21,bitcoin,6856.456278354705,-3.8029493776754464,125724.61042789977,35276609104.457115,7025.882679056418,0.9758853928479678,28.0586346494885,3.8029493776754464
2020-04-22,bitcoin,6842.038597634602,-0.2102788982352055,125473.1490291152,30093303601.39072,7030.443212773004,0.9732016020275783,23.983859362936506,0.2102788982352055
2020-04-23,bitcoin,7109.995291181778,3.916328294900473,130398.64320939327,30819547915.3444,7000.070082062678,1.0157034440841926,23.634868551396334,3.916328294900473
2020-04-24,bitcoin,7382.793144116689,3.8368218509687413,135414.82270973112,41032858925.23595,6994.284287978659,1.0555466206607838,30.301600743658664,3.8368218509687413
2020-04-25,bitcoin,7495.393587498606,1.5251740253842572,137493.7160654006,33233126912.999897,6996.984390843238,1.0712320006469678,24.1706514770407,1.5251740253842572
2020-04-26,bitcoin,7538.557687279841,0.5758750261390722,138298.13512285805,31610167152.118294,7010.37803833504,1.075342534461985,22.856538972154034,0.5758750261390722
2020-04-27,bitcoin,7683.867415083342,1.9275534370279956,140977.26014133173,33760863612.125053,7055.30226701993,1.089091172039736,23.94773708772557,1.9275534370279956
2020-04-28,bitcoin,7774.281554448049,1.1766749018498723,142649.8024628293,35205525351.89531,7108.974680519496,1.0935868959769504,24.679687419173902,1.1766749018498723
2020-04-29,bitcoin,7758.230255185947,-0.20646665739703085,142370.2127771421,32855687796.969097,7166.38286498476,1.0825866272220783,23.07764184380299,0.20646665739703085
2020-04-30,bitcoin,8744.430287016561,12.711662317206862,160483.57344017792,60399592065.54053,7226.428979496391,1.2100624404982334,37.63599648910807,12.711662317206862
2020-05-01,bitcoin,8610.63580374089,-1.5300537471757858,158042.62326439162,65838312160.09067,7352.045762917421,1.1711890923165362,41.65857969210551,1.5300537471757858
2020-05-02,bitcoin,8824.818413551968,2.487419218427811,161989.35517882224,44773967197.55202,7484.126033964727,1.1791381349676453,27.640067551429805,2.487419218427811
2020-05-03,bitcoin,8966.307014689282,1.6033032580028639,164603.12345599927,39177855720.33245,7601.785513217622,1.1795001317912872,23.801404795824084,1.6033032580028639
2020-05-04,bitcoin,8888.671912686868,-0.8658537107331554,163036.84234668603,45617019157.37323,7730.521880597627,1.1498152453324026,27.979577192970865,0.8658537107331554
2020-05-05,bitcoin,8884.407813577056,-0.04797228598039105,162341.4124398812,44698213713.39127,7840.265946143886,1.133176843056799,27.533463607102753,0.04797228598039105
2020-05-06,bitcoin,9003.240557621584,1.3375426538044577,165335.61763904948,43436234291.97107,7957.392337069746,1.131431023663333,26.271552925031784,1.3375426538044577
2020-05-07,bitcoin,9144.68703972007,1.5710618992485381,167950.86493714678,48538811466.802704,8100.511289020871,1.1289024499125673,28.900602259457052,1.5710618992485381
2020-05-08,bitcoin,9959.166416261767,8.906585572628089,182927.84743144945,61712313964.69186,8254.021185159903,1.2065835782161045,33.7358771948694,8.906585572628089
2020-05-09,bitcoin,9821.81131529702,-1.3791827069027374,180421.7629563486,50955646313.40579,8443.965926831901,1.1631751478398107,28.24251657807714,1.3791827069027374
2020-05-10,bitcoin,9566.777187205966,-2.5966099317531244,175752.57435463544,46706541180.09866,8606.567138243923,1.111567136297035,26.57516759091887,2.5966099317531244
2020-05-11,bitcoin,8752.617087745832,-8.510285998391842,160814.6783537077,61704475184.53314,8744.659378224413,1.0009100079462483,38.36992730776462,8.510285998391842
2020-05-12,bitcoin,8604.75159101983,-1.6893861029636636,158113.54096446693,57996080837.490005,8825.596671588813,0.9749767535514146,36.68002151094924,1.6893861029636636
2020-05-13,bitcoin,8788.466749414652,2.135043138102355,161474.125336405,39515455755.72524,8886.98894998458,0.9889138828545412,24.471695185467784,2.135043138102355
2020-05-14,bitcoin,9283.08601265873,5.62804954888203,170593.35005582485,44239951916.52319,8954.601296315686,1.036683343621139,25.93298736559552,5.62804954888203
2020-05-15,bitcoin,9796.494527024528,5.530580171999877,179398.0958713398,52076585310.72393,9056.258346813873,1.0817375291056137,29.02850504504354,5.530580171999877
2020-05-16,bitcoin,9309.29535940684,-4.973198997597605,170983.86389147487,44866846516.37974,9126.395962814402,1.0200407036181274,26.240398067537626,4.973198997597605
2020-05-17,bitcoin,9375.29710843331,0.7089875922754452,172309.40120674422,34146492788.290554,9172.973266525465,1.0220565171214633,19.816964454144976,0.7089875922754452
2020-05-18,bitcoin,9666.32719340344,3.1042225286742386,177224.28436913158,35650032953.969925,9209.671846184221,1.04958432339893,20.115771989642376,3.1042225286742386
2020-05-19,bitcoin,9708.439858793108,0.43566356225150926,178446.15357646416,38922896809.95441,9256.3398580985,1.0488421997922928,21.812124290634234,0.43566356225150926
2020-05-20,bitcoin,9760.198937162193,0.5331348715335027,179127.81580266246,37077538114.72087,9310.99105450558,1.0482449054055574,20.69892827564404,0.5331348715335027
2020-05-21,bitcoin,9526.50759300584,-2.3943297227945637,175227.22725290578,34829170074.82492,9369.37712941126,1.0167706413590007,19.87657433199917,2.3943297227945637
2020-05-22,bitcoin,9059.962506871727,-4.897336002509878,166569.3352908396,35965016693.72406,9404.261598436877,0.9633890350708261,21.59161926829274,4.897336002509878
2020-05-23,bitcoin,9131.767275081993,0.792550390311253,168309.81299251338,27700943119.83718,9398.613296246987,0.9716079369632592,16.458305447151407,0.792550390311253
2020-05-24,bitcoin,9170.361063506127,0.42263219442140176,168614.57311075774,26159735072.083897,9343.453353501669,0.981474484492324,15.514516088061004,0.42263219442140176
2020-05-25,bitcoin,8731.848525870651,-4.781845933859207,161407.63887536517,29437505507.203728,9300.023336715609,0.938906087622183,18.23798781291548,4.781845933859207
2020-05-26,bitcoin,8883.691769863415,1.738958750176245,163333.74398858345,29130957734.103832,9244.36142595992,0.9609849031774466,17.83523540373874,1.738958750176245
2020-05-27,bitcoin,8839.130663273247,-0.5016057259138118,162547.22689653773,26860828302.61543,9253.099738101093,0.9552615786552842,16.524937899871098,0.5016057259138118
2020-05-28,bitcoin,9174.118563996424,3.789828587047128,168615.77850982267,28916177009.890633,9268.725009584654,0.989792938565941,17.149152508409006,3.789828587047128
2020-05-29,bitcoin,9546.04563503715,4.054090520481646,175534.41497132307,31771100326.33337,9294.435130556772,1.0270710915667345,18.099641789061018,4.054090520481646
2020-05-30,bitcoin,9427.120373393418,-1.245806548496231,173355.01487847962,28880265574.932682,9311.965772048667,1.0123663041900783,16.659607796854047,1.245806548496231
2020-05-31,bitcoin,9662.70587254818,2.4990186803985903,177978.61638268933,30231487421.644287,9287.34082847326,1.0404168481600375,16.986022273957108,2.4990186803985903
2020-06-01,bitcoin,9466.961781429516,-2.0257689067694207,174105.71075204754,27396663221.152317,9310.901529349348,1.0167610248683483,15.735648820944906,2.0257689067694207
2020-06-02,bitcoin,10167.93069332851,7.404370357489154,186932.70206596874,33702539853.509113,9317.012507549096,1.0913295098713196,18.029236982631026,7.404370357489154
2020-06-03,bitcoin,9515.243858655718,-6.419072418550609,175463.16697151956,36841150778.6441,9350.452740877432,1.0176238651052552,20.99651534536818,6.419072418550609
2020-06-04,bitcoin,9645.227869360308,1.3660607403807923,177416.48047283004,25222025158.95508,9337.57300753494,1.0329480542296274,14.216280861696857,1.3660607403807923
2020-06-05,bitcoin,9776.20299178848,1.3579266783757094,179830.985954855,24903069188.397156,9329.90826968148,1.0478348456605175,13.848041290642122,1.3579266783757094
2020-06-06,bitcoin,9636.965527050057,-1.4242489119280277,177373.93737729662,23447982002.19483,9346.554629600323,1.0310714385095454,13.219519366206566,1.4242489119280277
2020-06-07,bitcoin,9662.858709002241,0.2686860493534393,177901.73234993214,19374357195.06036,9385.021497612213,1.0296043233849508,10.89048259347529,0.2686860493534393
2020-06-08,bitcoin,9738.603356828593,0.7838741112481173,179167.71794446165,23856639264.762486,9420.427593206896,1.0337750872212144,13.315255414570586,0.7838741112481173
